# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=od,Ørd
	ICON=Icons/canadian-english.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_NS=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PS4=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PS4=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_XB1=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_XB1=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PC=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PC=
		Ike tar fra masjinet
		na ka sjar denne ikon

# Main Menu
	MENU_DEBUG=		~FRABUGG~
	MENU_BEGIN=		KLATRER
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	Vœlginger
	MENU_CREDITS=	Kredittinger
	MENU_EXIT=		Later

# Options
	OPTIONS_TITLE=			VŒLGINGER
	OPTIONS_CONTROLS=		KONTROLNER
	OPTIONS_RUMBLE_PC=		Hristing
	OPTIONS_RUMBLE_PS4=		Hristing
	OPTIONS_RUMBLE_XB1=		Hristing
	OPTIONS_RUMBLE_NS=		Hristing
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=	50%
	OPTIONS_RUMBLE_OFF=		FRA
	OPTIONS_GRAB_MODE=		Grippham
	OPTIONS_CROUCH_DASH_MODE=	Krøkestrikkeham
	OPTIONS_BUTTON_PRESS=	Þrynger
	OPTIONS_BUTTON_HOLD=	Halder
	OPTIONS_BUTTON_INVERT=	Sidœnner
	OPTIONS_BUTTON_TOGGLE=	Œnner
	OPTIONS_KEYCONFIG=		Þrykkebord Vœlginger
	OPTIONS_BTNCONFIG=		Kontrollenær Vœlginger

	OPTIONS_VIDEO=			VIDEO
	OPTIONS_FULLSCREEN=		Hœlskjerm
	OPTIONS_WINDOW=			Vindu Storasje
	OPTIONS_VSYNC=			VSync
	OPTIONS_VIEWPORT_NS=	Aþdor Skjermstorsjon
	OPTIONS_VIEWPORT_PS4=	Aþdor Skjermstorsjon
	OPTIONS_VIEWPORT_XB1=	Aþdor Skjermstorsjon
	OPTIONS_VIEWPORT_PC=	Aþdor Skjermstorsjon
	OPTIONS_DISABLE_FLASH=	Fotofylesomham
	OPTIONS_DISABLE_SHAKE=	Skjermhristing

	OPTIONS_AUDIO=			AUDIO
	OPTIONS_MUSIC=			Musikk
	OPTIONS_SOUNDS=			Løder

	OPTIONS_GAMEPLAY=		SPILLELEKING
	OPTIONS_SPEEDRUN=		Tidløpeklokke
	OPTIONS_SPEEDRUN_CHAPTER=Kafle
	OPTIONS_SPEEDRUN_FILE=	Fil
	OPTIONS_DASHES=			Strikgangenær 
